38 Provinsi;;;
;Angka Partisipasi Kasar (APK) Menurut Provinsi dan Jenjang Pendidikan;;
;SD/sederajat;SMP/sederajat;SM/sederajat
;2025;2025;2025
ACEH;108.27;96.12;98.46
SUMATERA UTARA;106.04;90.73;98.33
SUMATERA BARAT;106.47;94.87;95.34
RIAU;107.92;93.96;86.01
JAMBI;107.38;92.72;89.28
SUMATERA SELATAN;107.69;87.24;88.9
BENGKULU;106.86;92.57;96.07
LAMPUNG;105.19;89.19;87.67
KEP. BANGKA BELITUNG;106.87;87.77;86.87
KEP. RIAU;109.49;95.78;90.65
DKI JAKARTA;103.49;98.76;86.7
JAWA BARAT;103.64;97.2;86.41
JAWA TENGAH;103.65;91.73;91.11
DI YOGYAKARTA;101.78;96.77;98.92
JAWA TIMUR;102.61;93.01;89.03
BANTEN;105.29;93.01;82.97
BALI;104.07;95.94;92.58
NUSA TENGGARA BARAT;106.15;92.98;91.23
NUSA TENGGARA TIMUR;110.24;93.6;91.14
KALIMANTAN BARAT;107.79;88.78;90.85
KALIMANTAN TENGAH;106.78;90.11;87.24
KALIMANTAN SELATAN;106.34;93.2;86.97
KALIMANTAN TIMUR;104.57;94.32;99.59
KALIMANTAN UTARA;106.86;95.59;97.87
SULAWESI UTARA;106.75;89.67;89.31
SULAWESI TENGAH;102.67;92.55;91.65
SULAWESI SELATAN;105.81;90.01;89.71
SULAWESI TENGGARA;107.51;87.94;93.74
GORONTALO;105.58;83.85;90.58
SULAWESI BARAT;105.35;86.68;87.34
MALUKU;108.83;91.17;93.64
MALUKU UTARA;110.57;91.67;92.62
PAPUA BARAT;109.18;93.08;95.42
PAPUA BARAT DAYA;111.22;95.56;87.95
PAPUA;110.99;102.68;86.3
PAPUA SELATAN;111.21;87.71;77.63
PAPUA TENGAH;82.52;71.89;54.82
PAPUA PEGUNUNGAN;84.31;78.11;54.52
INDONESIA;104.9;93.02;89.53
