38 Province;
;Percentage of Youth (Aged 15-24 Years) Not in Education, Employment or Training (NEET) (Percent)
0;2025
ACEH;24.52
SUMATERA UTARA;17.42
SUMATERA BARAT;18.42
RIAU;19.49
JAMBI;19.46
SUMATERA SELATAN;21.35
BENGKULU;18.61
LAMPUNG;18.07
KEP. BANGKA BELITUNG;18.16
KEP. RIAU;16.16
DKI JAKARTA;12.83
JAWA BARAT;24.84
JAWA TENGAH;16.67
DI YOGYAKARTA;11.25
JAWA TIMUR;16.76
BANTEN;23.72
BALI;5.33
NUSA TENGGARA BARAT;16.37
NUSA TENGGARA TIMUR;17.62
KALIMANTAN BARAT;19.63
KALIMANTAN TENGAH;21.72
KALIMANTAN SELATAN;18.59
KALIMANTAN TIMUR;18.29
KALIMANTAN UTARA;18.88
SULAWESI UTARA;29.52
SULAWESI TENGAH;20.14
SULAWESI SELATAN;19.2
SULAWESI TENGGARA;19.84
GORONTALO;23.9
SULAWESI BARAT;18.97
MALUKU;28.49
MALUKU UTARA;25.65
PAPUA BARAT;24.64
PAPUA BARAT DAYA;24.97
PAPUA;26.34
PAPUA SELATAN;21.95
PAPUA TENGAH;21.18
PAPUA PEGUNUNGAN;11.62
INDONESIA;19.44
