Kabupaten Kota;
;Tingkat Pengangguran Terbuka (TPT) Penduduk Umur 15 Tahun Keatas Manurut Kab/Kota (Persen)
;2025
Sumatera Utara;5.32
Nias;2.08
Mandailing Natal;7.18
Tapanuli Selatan;3.35
Tapanuli Tengah;7.21
Tapanuli Utara;1.1
Toba;1
Labuhan Batu;5.53
Asahan;5.46
Simalungun;4.48
Dairi;1.21
Karo;1.93
Deli Serdang;7.69
Langkat;5.85
Nias Selatan;2.98
Humbang Hasundutan;0.72
Pakpak Bharat;0.91
Samosir;0.87
Serdang Bedagai;4.31
Batu Bara;5.44
Padang Lawas Utara;3.73
Padang Lawas;5.03
Labuhanbatu Selatan;3.19
Labuanbatu Utara;4.21
Nias Utara;2.4
Nias Barat;0.97
Sibolga;6.44
Tanjungbalai;3.81
Pematangsiantar;7.74
Tebing Tinggi;5.99
Medan;7.99
Binjai;5.37
Padangsidimpuan;7
Gunungsitoli;3.29
